"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEMODEL";"SPICEPREFIX";"VALUE";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"POWER";"LED";"";"";"";"";"";"";"";"";
"1";"";"MA03-2";"MA03-2";"ICSP";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";
"1";"";"PINHD-1X1";"1X01";"SSEL";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"MIDI_OUT";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"FTDI";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"5V";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"";"PINHD-2X5IDC";"2X05IDC";"IN, OUT";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"SS_CONN";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"5";"100k";"R-US_M0805";"M0805";"R3, R7, R13, R17, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"3";"100nF";"C";"C0805";"C1, C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";"";
"1";"10k";"R-US_M0805";"M0805";"R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"10uF";"CPOL-USSMCA";"SMC_A";"C5, C6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"12";"110";"R-US_M0805";"M0805";"R2, R4, R6, R8, R10, R12, R14, R16, R18, R20, R22, R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"16MHZ";"RESONATOR8MHZ";"RESONATOR-SMD";"Y1";"Resonator";"";"";"";"";"XTAL-08895";"";"";"8MHZ";
"5";"1k";"R-US_M0805";"M0805";"R26, R27, R29, R33, R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"1k5";"R-US_M0805";"M0805";"SCL_PULLUP, SDA_PULLUP";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"220";"R-US_M0805";"M0805";"R28, R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"4067D";"4067D";"SO24W";"IC3, IC4";"16-channel ANALOG MULTIPLEXER";"";"";"";"";"";"";"";"";
"7";"4k7";"R-US_M0805";"M0805";"R1, R5, R9, R11, R15, R19, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U2";"";"";"";"";"";"IC-09069";"";"";"ATMEGA328P_TQFP";
"12";"QRE1113QRE1113";"QRE1113QRE1113";"QRE1113";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12";"";"";"";"";"";"";"";"";"";
"1";"REG1117";"REG1117";"SOT223";"IC13";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"REG1117";"1097566";"14P6981";"";"";"";"";
"1";"TACTILE-SWITCH-PTH";"TACTILE-SWITCH-PTH";"TAC-SWITCH-PTH";"RESET";"Tactile Switch 4 Pins, SPST NO";"";"";"";"";"";"";"";"";
"2";"ULN2001AD";"ULN2001AD";"SO16";"IC9, IC10";"DRIVER ARRAY";"";"";"";"";"";"";"";"";
